name,description,tessellate,WKT
"Paris - Frankfurt","3hr 55min","true","LINESTRING Z (2.355006 48.87993 0, 8.662162 50.106529 0)"
"Brussels - London","2hr 20min","true","LINESTRING Z (4.357016 50.845487 0, -0.126133 51.531427 0)"
"Paris - London","2hr 15min","true","LINESTRING Z (2.355006 48.87993 0, -0.126133 51.531427 0)"
"Paris - Rennes","2hr 00min","true","LINESTRING Z (2.355006 48.87993 0, -1.672044 48.103351 0)"
"Paris - Lyon","1hr 55min","true","LINESTRING Z (2.355006 48.87993 0, 4.859966 45.760029 0)"
"Paris - Bordeaux","3hr 00min","true","LINESTRING Z (2.355006 48.87993 0, -0.556307 44.824373 0)"
"Frankfurt - Bern","3hr 55min","true","LINESTRING Z (8.662162 50.106529 0, 7.437358 46.948635 0)"
"Lyon - Bern","3hr 50min","true","LINESTRING Z (4.859966 45.760029 0, 7.437358 46.948635 0)"
"Lyon - Bordeaux","6hr 15min","true","LINESTRING Z (4.859966 45.760029 0, -0.556307 44.824373 0)"
"Lyon - Marseille","1hr 40min","true","LINESTRING Z (4.859966 45.760029 0, 5.381999 43.303276 0)"
"Marseille - Nice","2hr 35min","true","LINESTRING Z (5.381999 43.303276 0, 7.26187 43.704166 0)"
"Nice - Milan","5hr 10min","true","LINESTRING Z (7.26187 43.704166 0, 9.204492 45.485641 0)"
"Milan - Bern","4hr 00min","true","LINESTRING Z (9.204492 45.485641 0, 7.437358 46.948635 0)"
"Milan - Munich","7hr 45min","true","LINESTRING Z (9.204492 45.485641 0, 11.557766 48.140458 0)"
"Milan - Venice","2hr 35min","true","LINESTRING Z (9.204492 45.485641 0, 12.320251 45.440948 0)"
"Milan - Bologna","1hr 00min","true","LINESTRING Z (9.204492 45.485641 0, 11.341174 44.506272 0)"
"Bologna - Florence","0hr 37min","true","LINESTRING Z (11.341174 44.506272 0, 11.247401 43.776565 0)"
"Florence - Rome","1hr 35min","true","LINESTRING Z (11.247401 43.776565 0, 12.50197 41.899798 0)"
"Venice - Florence","2hr 03min","true","LINESTRING Z (12.320251 45.440948 0, 11.247401 43.776565 0)"
"Rome - Naples","1hr 10min","true","LINESTRING Z (12.50197 41.899798 0, 14.27293 40.852658 0)"
"Rome - Bari","4hr 00min","true","LINESTRING Z (12.50197 41.899798 0, 16.869183 41.117164 0)"
"Naples - Carania","7hr 30min","true","LINESTRING Z (14.27293 40.852658 0, 15.106632 37.515359 0)"
"Marseille - Montpellier","2hr 20min","true","LINESTRING Z (5.381999 43.303276 0, 3.880453 43.604241 0)"
"Montpellier - Barcelona","4hr 40min","true","LINESTRING Z (3.880453 43.604241 0, 2.140469 41.378603 0)"
"Bordeaux - Madrid","11hr 00min","true","LINESTRING Z (-0.556307 44.824373 0, -3.690719 40.405679 0)"
"Madrid - Barcelona","2hr 50min","true","LINESTRING Z (2.140469 41.378603 0, -3.690719 40.405679 0)"
"Madrid - Valencia","1hr 45min","true","LINESTRING Z (-3.690719 40.405679 0, -0.381325 39.458883 0)"
"Madrid - Málaga","2hr 45min","true","LINESTRING Z (-3.690719 40.405679 0, -4.43229 36.711427 0)"
"Madrid - Lisbon","10hr 10min","true","LINESTRING Z (-3.690719 40.405679 0, -9.141473 38.714152 0)"
"Madrid - Santiago de Compostela","7hr 05min","true","LINESTRING Z (-3.690719 40.405679 0, -8.544694 42.870519 0)"
"Madrid - Santander","4hr 30min","true","LINESTRING Z (-3.690719 40.405679 0, -3.811224 43.458229 0)"
"Madrid - Pamplona","3hr 00min","true","LINESTRING Z (-3.690719 40.405679 0, -1.661531 42.824738 0)"
"Barcelona - Valencia","2hr 55min","true","LINESTRING Z (2.140469 41.378603 0, -0.381325 39.458883 0)"
"Barcelona - Seville","5hr 30min","true","LINESTRING Z (2.140469 41.378603 0, -5.975356 37.391648 0)"
"Madrid - Sevilla","2hr 35min","true","LINESTRING Z (-3.690719 40.405679 0, -5.975356 37.391648 0)"
"Lisbon - Porto","2hr 45min","true","LINESTRING Z (-9.141473 38.714152 0, -8.609558 41.145249 0)"
"Lisbon - Faro","3hr 50min","true","LINESTRING Z (-9.141473 38.714152 0, -7.940672 37.019389 0)"
"Dublin - Belfast","4hr 00min","true","LINESTRING Z (-6.24715 53.352548 0, -5.917274 54.594674 0)"
"Dublin - Cork","2hr 45min","true","LINESTRING Z (-6.24715 53.352548 0, -8.457456 51.90139 0)"
"Dublin - Westport","3hr 30min","true","LINESTRING Z (-6.24715 53.352548 0, -9.50998 53.795725 0)"
"London - Penzance","5hr 05min","true","LINESTRING Z (-0.126133 51.531427 0, -5.532589 50.121316 0)"
"London - Bristol","1hr 45min","true","LINESTRING Z (-0.126133 51.531427 0, -2.580706 51.449065 0)"
"London - Birmingham","1hr 45min","true","LINESTRING Z (-0.126133 51.531427 0, -1.898574 52.477492 0)"
"Birmingham - Holyhead","4hr 05min","true","LINESTRING Z (-1.898574 52.477492 0, -4.630768 53.307618 0)"
"Birmingham - Edinburgh","4hr 25min","true","LINESTRING Z (-1.898574 52.477492 0, -3.188345 55.952064 0)"
"Edinburgh - Glasgow","0hr 50min","true","LINESTRING Z (-3.188345 55.952064 0, -4.25806 55.860302 0)"
"Edinburgh - Aberdeen","2hr 20min","true","LINESTRING Z (-3.188345 55.952064 0, -2.098714 57.143437 0)"
"Warzaw - Budapest","11hr 20min","true","LINESTRING Z (21.003275 52.228841 0, 19.9449799 50.0646501 0, 19.083991 47.500173 0)"
"Brussels - Frankfurt","3hr 10min","true","LINESTRING Z (4.357016 50.845487 0, 8.662162 50.106529 0)"
"Warsaw - Bialystok","2hr 17min","true","LINESTRING Z (21.003275 52.228841 0, 23.1613874 53.1322455 0)"
"Riga - Tartu","4hr 32min","true","LINESTRING Z (24.1051865 56.9496487 0, 26.7365284 58.3835606 0)"
"Vilnius - Daugavpils","2hr 43min","true","LINESTRING Z (25.2796514 54.6871555 0, 26.5442677 55.8743716 0)"
"Daugavpils - Riga","3hr 24min","true","LINESTRING Z (26.5442677 55.8743716 0, 24.1051865 56.9496487 0)"
"Vilnius - Klaipèda","4hr 18min","true","LINESTRING Z (25.2796514 54.6871555 0, 21.1442795 55.7032948 0)"
"Tartu - Tallinn","1hr 58min","true","LINESTRING Z (26.7365284 58.3835606 0, 24.7535747 59.4369608 0)"
"Istanbul - Ankara","4hr","true","LINESTRING Z (28.979608 41.015402 0, 32.8615239 39.9019795 0)"
"Warsaw - Gdansk",,"true","LINESTRING Z (21.003275 52.228841 0, 18.6466384 54.3520252 0)"
"Ancona - Igoumenitsa","15hr 00min","true","LINESTRING Z (13.505289 43.617828 0, 20.26261 39.499549 0)"
"Bari - Igoumenitsa","9hr 30min","true","LINESTRING Z (16.869183 41.117164 0, 20.26261 39.499549 0)"
"Igoumenitsa - Patras","6hr 00min","true","LINESTRING Z (20.26261 39.499549 0, 21.734772 38.249375 0)"
"Athens - Heraklion","6hr 30min","true","LINESTRING Z (23.720809 37.992411 0, 25.143183 35.342636 0)"
"Athens - Rhodes","11hr 50min","true","LINESTRING Z (23.720809 37.992411 0, 28.236749 36.442047 0)"
"Holyhead - Dublin","3hr 15min","true","LINESTRING Z (-4.630768 53.307618 0, -6.24715 53.352548 0)"
"Stockholm - Tallinn","16hr 55min","true","LINESTRING Z (18.057932 59.330669 0, 24.7538634 59.441099 0)"
"Helsinki - Tallinn","2hr","true","LINESTRING Z (24.941492 60.17096 0, 24.7535747 59.4369608 0)"
